sample_id,name,repeat,layer,grid_ix,grid_iy,timestamp,board_origin,cmd_x,cmd_y,cmd_z,detect_ok,tag_x_board_up,tag_y_board_up,tag_z_board_up,measured_x_machine,measured_y_machine,measured_z_machine,error_x_mm,error_y_mm,error_z_mm,error_xy_mm,reprojection_mean_px,reprojection_max_px,gear_ratio,gear_reduction,emm_wait_reached,emm_wait_s,settle_s,captured_at,emm_id1_deg,emm_id2_deg,emm_id3_deg,arm_id1_deg,arm_id2_deg,arm_id3_deg,emm_id1_reached,emm_id2_reached,emm_id3_reached,emm_status_json,image,overlay,error
0,z0_x0_y0,0,0,0,0,1782973481.0987115,center,-40.0,-20.0,55.0,True,-24.236867300819437,-27.54685697427736,121.7381919264883,-35.86103362189206,-18.42992797598675,54.56775723992283,4.138966378107938,1.5700720240132497,-0.4322427600771732,4.426756017638311,0.5370105617682752,0.54152948296943,50:20,2.5,True,0.1733379364013672,2.0,1782973481.0988815,-144.755859375,-104.8974609375,-69.93896484375,-57.90234375,-41.958984375,-27.9755859375,True,True,True,"{""1"": {""enabled"": true, ""raw"": ""01 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}, ""2"": {""enabled"": true, ""raw"": ""02 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}, ""3"": {""enabled"": true, ""raw"": ""03 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}}",D:\ccy\Desktop\Delta_Robot\1 writer_bot\flutter\1.0\write_bot\02_visual\stage2_error_grid\images\0000_z0_x0_y0_r0.jpg,D:\ccy\Desktop\Delta_Robot\1 writer_bot\flutter\1.0\write_bot\02_visual\stage2_error_grid\overlays\0000_z0_x0_y0_r0_overlay.jpg,
1,z0_x1_y0,0,0,1,0,1782973484.6093974,center,-20.0,-20.0,55.0,True,-22.328234654737074,-9.364097200285551,121.54705252476808,-17.58147030724201,-18.093480948824837,54.376617838202606,2.418529692757989,1.906519051175163,-0.6233821617973945,3.0796267253103737,0.2785770572636518,0.28530115169626963,50:20,2.5,True,0.1854238510131836,2.0,1782973484.6094608,-122.816162109375,-110.797119140625,-76.212158203125,-49.12646484375,-44.31884765625,-30.48486328125,True,True,True,"{""1"": {""enabled"": true, ""raw"": ""01 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}, ""2"": {""enabled"": true, ""raw"": ""02 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}, ""3"": {""enabled"": true, ""raw"": ""03 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}}",D:\ccy\Desktop\Delta_Robot\1 writer_bot\flutter\1.0\write_bot\02_visual\stage2_error_grid\images\0001_z0_x1_y0_r0.jpg,D:\ccy\Desktop\Delta_Robot\1 writer_bot\flutter\1.0\write_bot\02_visual\stage2_error_grid\overlays\0001_z0_x1_y0_r0_overlay.jpg,
2,z0_x2_y0,0,0,2,0,1782973488.1297112,center,0.0,-20.0,55.0,True,-20.625566532374872,8.696103956136056,121.63459007565427,0.558260626656891,-17.95168464749116,54.4641553890888,0.558260626656891,2.0483153525088404,-0.5358446109111981,2.1230286645730336,0.04373930543557843,0.04411565298192519,50:20,2.5,True,0.17593598365783691,2.0,1782973488.1297717,-102.32666015625,-119.15771484375,-85.0341796875,-40.9306640625,-47.6630859375,-34.013671875,True,True,True,"{""1"": {""enabled"": true, ""raw"": ""01 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}, ""2"": {""enabled"": true, ""raw"": ""02 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}, ""3"": {""enabled"": true, ""raw"": ""03 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}}",D:\ccy\Desktop\Delta_Robot\1 writer_bot\flutter\1.0\write_bot\02_visual\stage2_error_grid\images\0002_z0_x2_y0_r0.jpg,D:\ccy\Desktop\Delta_Robot\1 writer_bot\flutter\1.0\write_bot\02_visual\stage2_error_grid\overlays\0002_z0_x2_y0_r0_overlay.jpg,
3,z0_x3_y0,0,0,3,0,1782973491.6420453,center,20.0,-20.0,55.0,True,-18.92732954859491,26.522265429455665,123.34868182910338,18.464439086059294,-17.79415780541092,56.17824714253791,-1.5355609139407065,2.2058421945890814,1.1782471425379129,2.6876917806645895,0.6091569016506848,0.6142724590121373,50:20,2.5,True,0.18154287338256836,2.0,1782973491.6422179,-83.463134765625,-129.693603515625,-96.339111328125,-33.38525390625,-51.87744140625,-38.53564453125,True,True,True,"{""1"": {""enabled"": true, ""raw"": ""01 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}, ""2"": {""enabled"": true, ""raw"": ""02 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}, ""3"": {""enabled"": true, ""raw"": ""03 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}}",D:\ccy\Desktop\Delta_Robot\1 writer_bot\flutter\1.0\write_bot\02_visual\stage2_error_grid\images\0003_z0_x3_y0_r0.jpg,D:\ccy\Desktop\Delta_Robot\1 writer_bot\flutter\1.0\write_bot\02_visual\stage2_error_grid\overlays\0003_z0_x3_y0_r0_overlay.jpg,
4,z0_x4_y0,0,0,4,0,1782973495.151304,center,40.0,-20.0,55.0,True,-17.24111734265213,44.58598422659682,121.72592229695434,36.60625814334106,-17.669059130320896,54.555487610388866,-3.3937418566589415,2.330940869679104,-0.44451238961113404,4.1171311768729515,0.48189859552900827,0.4838846336233087,50:20,2.5,True,0.19167733192443848,2.0,1782973495.1514971,-67.1044921875,-142.371826171875,-110.23681640625,-26.841796875,-56.94873046875,-44.0947265625,True,True,True,"{""1"": {""enabled"": true, ""raw"": ""01 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}, ""2"": {""enabled"": true, ""raw"": ""02 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}, ""3"": {""enabled"": true, ""raw"": ""03 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}}",D:\ccy\Desktop\Delta_Robot\1 writer_bot\flutter\1.0\write_bot\02_visual\stage2_error_grid\images\0004_z0_x4_y0_r0.jpg,D:\ccy\Desktop\Delta_Robot\1 writer_bot\flutter\1.0\write_bot\02_visual\stage2_error_grid\overlays\0004_z0_x4_y0_r0_overlay.jpg,
5,z0_x4_y1,0,0,4,1,1782973498.408481,center,40.0,-8.75,55.0,True,-7.125119483180249,43.49079400936334,124.38115263649681,36.385878744376896,-7.4963364256918235,57.210717949931336,-3.614121255623104,1.2536635743081765,2.210717949931336,3.8253816551938806,0.14219451642620176,0.14274745897719401,50:20,2.5,True,0.17310547828674316,2.0,1782973498.4086132,-66.11572265625,-132.626953125,-118.619384765625,-26.4462890625,-53.05078125,-47.44775390625,True,True,True,"{""1"": {""enabled"": true, ""raw"": ""01 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}, ""2"": {""enabled"": true, ""raw"": ""02 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}, ""3"": {""enabled"": true, ""raw"": ""03 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}}",D:\ccy\Desktop\Delta_Robot\1 writer_bot\flutter\1.0\write_bot\02_visual\stage2_error_grid\images\0005_z0_x4_y1_r0.jpg,D:\ccy\Desktop\Delta_Robot\1 writer_bot\flutter\1.0\write_bot\02_visual\stage2_error_grid\overlays\0005_z0_x4_y1_r0_overlay.jpg,
6,z0_x3_y1,0,0,3,1,1782973501.9247074,center,20.0,-8.75,55.0,True,-8.131862373278647,26.074513912457583,123.01552256731654,18.947581556882998,-7.00021662032049,55.845087880751066,-1.052418443117002,1.74978337967951,0.8450878807510662,2.0418928608561866,0.2562588396718011,0.2585135643786195,50:20,2.5,True,0.17210745811462402,2.0,1782973501.9248426,-82.408447265625,-119.542236328125,-105.00732421875,-32.96337890625,-47.81689453125,-42.0029296875,True,True,True,"{""1"": {""enabled"": true, ""raw"": ""01 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}, ""2"": {""enabled"": true, ""raw"": ""02 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}, ""3"": {""enabled"": true, ""raw"": ""03 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}}",D:\ccy\Desktop\Delta_Robot\1 writer_bot\flutter\1.0\write_bot\02_visual\stage2_error_grid\images\0006_z0_x3_y1_r0.jpg,D:\ccy\Desktop\Delta_Robot\1 writer_bot\flutter\1.0\write_bot\02_visual\stage2_error_grid\overlays\0006_z0_x3_y1_r0_overlay.jpg,
7,z0_x2_y1,0,0,2,1,1782973505.4431214,center,0.0,-8.75,55.0,True,-10.037944801886653,8.23014146185869,124.3031280748373,1.0053691747183966,-7.3632499709098305,57.13269338827183,1.0053691747183966,1.3867500290901695,2.132693388271832,1.7128464089507662,0.2406828532412333,0.24272207570533108,50:20,2.5,True,0.18993067741394043,2.0,1782973505.4433439,-101.31591796875,-108.74267578125,-93.7353515625,-40.5263671875,-43.4970703125,-37.494140625,True,True,True,"{""1"": {""enabled"": true, ""raw"": ""01 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}, ""2"": {""enabled"": true, ""raw"": ""02 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}, ""3"": {""enabled"": true, ""raw"": ""03 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}}",D:\ccy\Desktop\Delta_Robot\1 writer_bot\flutter\1.0\write_bot\02_visual\stage2_error_grid\images\0007_z0_x2_y1_r0.jpg,D:\ccy\Desktop\Delta_Robot\1 writer_bot\flutter\1.0\write_bot\02_visual\stage2_error_grid\overlays\0007_z0_x2_y1_r0_overlay.jpg,
8,z0_x1_y1,0,0,1,1,1782973508.95053,center,-20.0,-8.75,55.0,True,-11.751935345414921,-9.900234148488828,124.2583695303517,-17.20525035527831,-7.5102863245470886,57.08793484378623,2.7947496447216906,1.2397136754529114,2.087934843786229,3.0573706961663945,0.5436878104529833,0.552936846584162,50:20,2.5,True,0.17519927024841309,2.0,1782973508.9506178,-121.915283203125,-100.21728515625,-84.92431640625,-48.76611328125,-40.0869140625,-33.9697265625,True,True,True,"{""1"": {""enabled"": true, ""raw"": ""01 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}, ""2"": {""enabled"": true, ""raw"": ""02 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}, ""3"": {""enabled"": true, ""raw"": ""03 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}}",D:\ccy\Desktop\Delta_Robot\1 writer_bot\flutter\1.0\write_bot\02_visual\stage2_error_grid\images\0008_z0_x1_y1_r0.jpg,D:\ccy\Desktop\Delta_Robot\1 writer_bot\flutter\1.0\write_bot\02_visual\stage2_error_grid\overlays\0008_z0_x1_y1_r0_overlay.jpg,
9,z0_x0_y1,0,0,0,1,1782973512.4632354,center,-40.0,-8.75,55.0,True,-13.60589815778167,-28.33952258433845,120.4710303911987,-35.73568447292222,-7.770185423727467,53.300595704633224,4.264315527077777,0.979814576272533,-1.6994042953667758,4.3754340948473605,0.17912680222847083,0.1792837236598708,50:20,2.5,True,0.18523812294006348,2.0,1782973512.463373,-143.778076171875,-93.988037109375,-78.7939453125,-57.51123046875,-37.59521484375,-31.517578125,True,True,True,"{""1"": {""enabled"": true, ""raw"": ""01 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}, ""2"": {""enabled"": true, ""raw"": ""02 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}, ""3"": {""enabled"": true, ""raw"": ""03 3A 83 6B"", ""reached"": true, ""stall_protection"": false, ""stalled"": false, ""status"": 131}}",D:\ccy\Desktop\Delta_Robot\1 writer_bot\flutter\1.0\write_bot\02_visual\stage2_error_grid\images\0009_z0_x0_y1_r0.jpg,D:\ccy\Desktop\Delta_Robot\1 writer_bot\flutter\1.0\write_bot\02_visual\stage2_error_grid\overlays\0009_z0_x0_y1_r0_overlay.jpg,
